"Formation energies of the G3/99 dataset in units of eV."
"All density functional data, except for B3LYP and PBE0, are computed from ground-state DFT calculations published in Wellendorff, Lundgaard, Mogelhoj, Petzold, Landis, Bligaard, Norskov, and Jacobsen: BEEF-vdW etc., Phys. Rev. B (2012)."
"#","name","experiment","LDA","PBE","RPBE","PBEsol","WC","AM05","BLYP","HCTH407","TPSS","revTPSS","B3LYP","PBE0","vdW-DF","vdW-DF2","optPBE-vdW","optB88-vdW","C09-vdW","BEEF-vdW"
11,"OH",-4.61601,-7.5738088,-4.74671378,-4.59279,-4.93947324,-4.83887174,-4.99979557,-4.74314862,-4.5420051,-4.64956614,-4.54935618,-4.52061355,-4.63336025,-4.77620258,-4.8059571,-4.89119741,-4.93200745,-4.98611996,-4.66450947
12,"H2O",-10.0856,-11.49883895,-10.12171345,-9.79502703,-10.58909883,-10.36403302,-10.78233047,-10.06819565,-9.90477078,-9.94290411,-9.79380167,-10.12898556,-10.29810561,-10.11397476,-10.10382534,-10.39150973,-10.48165927,-10.67111838,-9.94584972
13,"HF",-6.11489,-7.00331661,-6.14426248,-5.94710448,-6.44529853,-6.31794589,-6.59577042,-6.11532761,-6.15833259,-6.0527185,-5.98618841,-6.16259141,-6.26232888,-6.09787579,-6.06950242,-6.27588988,-6.33983062,-6.47856821,-6.04701976
14,"SiH2 (s1A1d)",-6.56793748,-7.19644454,-6.38817125,-6.29099799,-6.62780107,-6.47650043,-6.79077651,-6.57781845,-6.31743095,-6.76234911,-6.86330303,-6.47687284,-6.75440317,-6.82382671,-6.80157277,-6.89004389,-6.91834344,-6.93834674,-6.57746774
15,"SiH2 (s3B1d)",-5.66804103,-6.34195225,-5.66648351,-5.59218891,-6.62810578,-6.47668428,-6.79141202,-6.57805255,-6.31779168,-6.08236288,-6.14384615,-5.56830357,-5.60299486,-5.89373544,-5.76362314,-5.9827478,-6.00893318,-6.10224632,-5.78759798
16,"SiH3",-9.77344,-10.65827704,-9.5959088,-9.46126015,-9.95085564,-9.74446731,-10.13874378,-9.70296438,-9.55800711,-10.22164625,-10.35051078,-9.63901877,-9.85583934,-10.07519274,-9.96759187,-10.18512415,-10.22707807,-10.29477701,-9.83204633
17,"SiH4",-13.9593,-15.00776515,-13.53549286,-13.33606846,-13.9989988,-13.72108923,-14.26684461,-13.75241889,-13.42063659,-14.39070983,-14.58804422,-13.8856058,-14.24986437,-14.24651434,-14.14679238,-14.3865392,-14.44881473,-14.50548012,-13.87433527
18,"PH2",-6.63197,-7.52065131,-6.67965607,-6.54600505,-6.94471106,-6.78935869,-7.06059347,-6.81446122,-6.44579095,-6.95039916,-7.0097489,-6.36312009,-6.60162272,-7.01047356,-6.97937425,-7.11260774,-7.14805325,-7.20697047,-6.76654304
19,"PH3",-10.4901,-11.67620622,-10.3431099,-10.12231783,-10.77591372,-10.53155362,-10.98741313,-10.48948647,-10.04215554,-10.74964433,-10.83550795,-10.33405012,-10.65060816,-10.78447362,-10.71464602,-10.96397389,-11.02070517,-11.14464705,-10.45067936
20,"SH2",-7.9115,-8.93209168,-7.87967889,-7.67991494,-8.2588234,-8.07052693,-8.43509466,-7.82615203,-7.73878144,-8.00972345,-7.99374737,-7.91150952,-8.00691057,-7.98340551,-7.89629433,-8.18006425,-8.22815856,-8.41071491,-7.8403163
21,"HCl",-4.61616,-5.1325386,-4.60331801,-4.48422525,-4.83528049,-4.72688874,-4.94379421,-4.52234414,-4.59084761,-4.63357422,-4.61403148,-4.65085333,-4.65518974,-4.58440599,-4.51973274,-4.71476391,-4.74311073,-4.87727707,-4.55340519
22,"Li2",-1.05688,-1.02931368,-0.8626843,-0.88016749,-0.88867571,-0.84284608,-0.85189959,-0.89579157,-1.2471734,-0.98397949,-1.01939252,-1.20432554,-1.2650353,-1.01420484,-1.00221741,-1.01263988,-0.93966718,-0.94515727,-0.98609965
23,"LiF",-5.96737,-6.69419159,-5.98038087,-5.75363329,-6.09019467,-6.00214411,-6.13459,-6.13227892,-6.08495986,-5.80725183,-5.75683793,-5.9890569,-6.20154106,-6.06465142,-6.26639057,-6.18495302,-6.22424917,-6.14737966,-6.0807787
24,"acetylene",-17.585141,-19.93119059,-17.97801115,-17.35379665,-18.64049874,-18.33556069,-18.71080848,-17.58308181,-17.47570927,-17.60817888,-17.5426004,-17.67620617,-17.62850564,-17.5598657,-17.71515927,-18.04888111,-18.19352771,-18.47308268,-17.50785976
25,"ethylene",-24.434668,-27.40436816,-24.77741844,-24.04617549,-25.6844148,-25.23391981,-25.85680927,-24.33365837,-24.29215627,-24.67280672,-24.61599721,-24.4303318,-24.40864975,-24.56680091,-24.62206867,-25.15919943,-25.32181946,-25.69324728,-24.43533088
26,"ethane",-30.882456,-34.39999106,-31.07058307,-30.22298199,-32.23599588,-31.6368887,-32.51729418,-30.55445077,-30.59838944,-31.20039162,-31.14327657,-30.89980238,-30.88245674,-31.04296957,-30.99779835,-31.74818468,-31.93251859,-32.41066407,-30.82800902
27,"CN",-7.86677,-9.52832764,-8.57329281,-8.15615435,-8.87017521,-8.72004723,-8.74242196,-8.31770849,-7.82227279,-7.96568732,-7.95067605,-7.94049843,-7.9665169,-8.17050584,-8.41900712,-8.45733456,-8.53498045,-8.64386791,-8.08189369
28,"HCN",-13.5635,-15.65260889,-14.15566336,-13.61612518,-14.62047271,-14.38617973,-14.57926446,-13.91366289,-13.33972779,-13.63790954,-13.6246309,-13.51582265,-13.6112237,-13.83426926,-14.0918688,-14.21197489,-14.32832068,-14.47730476,-13.67885065
29,"CO",-11.2425,-12.88425855,-11.59656167,-11.1339407,-12.04146803,-11.86857653,-12.05669918,-11.31631305,-11.06634468,-10.99554163,-10.96872283,-11.37267704,-11.36400422,-11.12985148,-11.25157494,-11.4931337,-11.61145482,-11.82467532,-11.07714026
30,"HCO",-12.0862,-14.37826451,-12.76024306,-12.22570448,-13.33060393,-13.09561761,-13.37568183,-12.43113648,-12.21785512,-12.25880867,-12.20125415,-11.96916345,-11.96049062,-12.3080506,-12.40233559,-12.73925033,-12.87236834,-13.14310625,-12.24016352
31,"formaldehyde",-16.20789724,-18.75939419,-16.70509692,-16.09461345,-17.41604317,-17.09901328,-17.54925673,-16.37206509,-16.18839007,-16.31758015,-16.26290552,-16.16886954,-16.21223365,-16.38372668,-16.45296073,-16.87903214,-17.03036759,-17.34440122,-16.25235797
32,"methanol",-22.2243,-25.37021253,-22.5182664,-21.75494757,-23.51954082,-23.05094011,-23.75199549,-22.13924215,-21.98263845,-22.34343559,-22.24327184,-22.22439929,-22.29378188,-22.33818642,-22.33419676,-22.97234714,-23.15781351,-23.58386419,-22.12155478
33,"N2",-9.90772,-11.62018712,-10.5846564,-10.13254743,-10.86518979,-10.69398263,-10.71488884,-10.45139516,-9.48137515,-9.92110066,-9.9787018,-9.86436472,-10.04215759,-10.32593539,-10.67214913,-10.60136485,-10.68307992,-10.7315082,-10.08782273
34,"hydrazine",-19.005784,-22.37827547,-19.65759897,-18.87800014,-20.55574452,-20.07168902,-20.61785798,-19.41668618,-18.51596103,-19.33148644,-19.24925784,-18.73259069,-18.99277538,-19.62994173,-19.80836782,-20.21323488,-20.37056098,-20.67586544,-19.23672837
35,"NO",-6.62221,-11.07693345,-7.41949352,-6.97661935,-7.80175111,-7.62742047,-7.73498657,-7.19563177,-6.56410261,-6.76434174,-6.77038803,-6.49212399,-6.56584299,-7.01859813,-7.20024015,-7.34451594,-7.44052032,-7.61282108,-6.85568692
36,"O2",-5.21755,-7.4793281,-6.15728542,-5.71504882,-6.66587903,-6.47339419,-6.72417733,-5.84574395,-5.68322265,-5.49555181,-5.44422173,-5.0571057,-5.03108723,-5.59287494,-5.61678513,-5.98883789,-6.0935958,-6.41419452,-5.50807704
37,"H2O2",-11.650684,-14.47440072,-12.20748727,-11.56238536,-13.01218249,-12.67115439,-13.18205365,-11.9545847,-11.55477286,-11.71064424,-11.57016118,-11.68537567,-11.85883213,-11.88171692,-11.93474737,-12.41893929,-12.5810941,-12.95275468,-11.62451902
38,"F2",-1.66732,-3.39043735,-2.30788226,-1.96897296,-2.71720301,-2.58384371,-2.79102449,-2.14372512,-2.03854649,-2.04909621,-2.11056303,-1.76272524,-1.85812629,-1.95371389,-1.98892541,-2.25066776,-2.33543386,-2.57056369,-1.87212964
39,"CO2",-16.8805,-20.38509536,-17.95197435,-17.06947067,-18.84528729,-18.54239495,-18.87777896,-17.28057608,-17.09393311,-16.84248218,-16.75475099,-16.86322442,-16.68543155,-16.90004511,-17.0504766,-17.63132475,-17.86710602,-18.36202746,-16.90482451
40,"Na2",-0.73695,-0.88218523,-0.76544104,-0.81120663,-0.76313659,-0.69522525,-0.68016773,-0.76443759,-1.5469111,-0.83006983,-0.83335753,-0.7196058,-0.77164274,-0.8973658,-0.84413299,-0.88990855,-0.76809737,-0.75767841,-0.99446243
41,"Si2",-3.23934,-12.6538657,-3.49896856,-3.33482786,-3.7272577,-3.66285503,-3.69103132,-3.30848687,-3.30224746,-3.39166387,-3.43317131,-3.23934273,-3.13526885,-3.32644832,-3.3063155,-3.49260494,-3.5338425,-3.67025823,-3.30819703
42,"P2",-5.08397,-6.22170831,-5.24164568,-4.94409899,-5.56924673,-5.4754684,-5.548095,-5.26179334,-4.49971736,-5.02414544,-5.13036551,-5.10999691,-5.30079902,-5.18079977,-5.22827213,-5.4225573,-5.50899317,-5.66138738,-4.95635935
43,"S2",-4.40889,-5.84970624,-4.97685772,-4.67561139,-5.34593537,-5.25335556,-5.33045617,-4.66022712,-4.59026035,-4.70918195,-4.73049726,-4.34818048,-4.20507891,-4.59384292,-4.54338495,-4.88706288,-4.96403704,-5.22895225,-4.61727743
44,"Cl2",-2.51295,-3.45247815,-2.83684375,-2.57868686,-3.17811489,-3.08368408,-3.17485447,-2.51860909,-2.59045093,-2.65883129,-2.71962841,-2.63436996,-2.46958633,-2.49418154,-2.42630503,-2.75335702,-2.8137208,-3.06195543,-2.54782161
45,"NaCl",-4.25179,-4.39370628,-4.07829029,-3.9762184,-4.20086861,-4.16583174,-4.15674263,-3.95414122,-4.34698403,-4.14932216,-4.14021275,-4.44693358,-4.40356947,-4.09259058,-4.04947256,-4.17654547,-4.18487657,-4.2201234,-4.1239039
46,"SiO",-8.33709,-9.62159847,-8.41895039,-8.01570635,-8.80647336,-8.69925552,-8.81113811,-8.41387258,-7.88730685,-8.03623635,-8.00365852,-8.54958211,-8.76206628,-8.22065531,-8.36451582,-8.50875056,-8.64202745,-8.74818865,-8.04909937
47,"CS",-7.43025,-8.75622014,-7.77818197,-7.43712943,-8.14385114,-8.00657818,-8.13034356,-7.47878843,-7.31714645,-7.36485041,-7.38049891,-7.63839799,-7.564679,-7.39234691,-7.42670261,-7.69105179,-7.76491472,-7.9848188,-7.39780298
48,"SO",-5.42326,-7.20784907,-6.08299259,-5.68834474,-6.51035062,-6.3835479,-6.51516933,-5.8336989,-5.58480942,-5.62362804,-5.5961863,-5.36255819,-5.35822178,-5.65040853,-5.67468464,-5.98809686,-6.09679072,-6.34089701,-5.59972892
49,"ClO",-2.79913,-4.4483559,-3.51542176,-3.16715147,-3.90378157,-3.77941566,-3.90057052,-3.2374045,-3.10084783,-3.12994266,-3.13418047,-2.72541292,-2.69072163,-3.10801547,-3.13252712,-3.41321366,-3.49603133,-3.73568383,-3.07606579
50,"ClF",-2.66032,-4.03619476,-3.12766029,-2.80926349,-3.51277328,-3.40263108,-3.55565174,-2.91792198,-2.90394268,-2.90672165,-2.95972466,-2.69501902,-2.68634619,-2.78610404,-2.79112443,-3.07149064,-3.15505125,-3.3849173,-2.77580367
51,"Si2H6",-22.9968225,-25.04119012,-22.44474865,-21.9921977,-23.32206975,-22.86311001,-23.65016322,-22.49766707,-22.09508561,-23.64807126,-23.93236266,-22.99682258,-23.33506268,-23.29257289,-23.08952951,-23.6555432,-23.77765234,-23.99716188,-22.79178897
52,"CH3Cl",-17.1061,-19.29090604,-17.32744561,-16.78127283,-18.08033373,-17.73288572,-18.22013318,-16.90171736,-16.98829947,-17.32810604,-17.32920724,-17.14516922,-17.03675893,-17.14162623,-17.07238294,-17.62234523,-17.74227021,-18.10928001,-17.0737248
53,"CH3SH",-20.5366,-23.22740488,-20.71430547,-20.0758737,-21.62976977,-21.19818245,-21.83631832,-20.28077132,-20.25164456,-20.76335482,-20.74595929,-20.59302395,-20.54098702,-20.61241058,-20.51656066,-21.17624864,-21.31760491,-21.75211178,-20.45006034
54,"HOCl",-7.13146,-9.03941619,-7.58259902,-7.12439672,-8.15852805,-7.94247788,-8.24110094,-7.30251065,-7.13516386,-7.24275091,-7.20076124,-7.17916768,-7.19217692,-7.24469937,-7.24215771,-7.64645757,-7.76161242,-8.06979319,-7.14169447
55,"SO2",-11.2034,-14.4239011,-12.06629258,-11.2458528,-12.95807306,-12.68527445,-12.98478227,-11.50846583,-11.08417631,-11.13781838,-11.11227386,-11.53306356,-11.47669021,-11.20147683,-11.25971096,-11.90142329,-12.1295556,-12.63269899,-11.13410493
56,"BF3",-20.3891,-23.70979753,-20.84149036,-19.81291773,-21.86895291,-21.60821267,-21.88717777,-20.34146337,-20.36935456,-20.12806255,-20.03421554,-20.5626127,-20.46721165,-19.81637454,-19.97910771,-20.62683922,-20.93650707,-21.38733483,-19.95605919
57,"BCl3",-13.9938,-16.30307046,-14.5095805,-13.74055571,-15.37311101,-15.14188152,-15.23804749,-13.52242882,-13.88967989,-13.91945774,-13.90705145,-14.26707558,-13.59059539,-13.45181416,-13.35361732,-14.16733715,-14.34500343,-14.92643719,-13.77446113
58,"AlF3",-18.5023,-20.74237417,-18.35269938,-17.52207108,-19.11983146,-18.96229538,-19.12532455,-18.24397597,-18.11382926,-17.91837553,-17.8486202,-19.02700701,-19.17878141,-17.88646919,-18.17982306,-18.45970118,-18.72427293,-18.90346359,-17.96092073
59,"AlCl3",-13.2796,-14.60970938,-13.19793244,-12.60148116,-13.87651982,-13.73577992,-13.72412692,-12.54505933,-12.70899751,-13.05281771,-13.05834074,-13.72192795,-13.24058628,-12.57140813,-12.45595587,-13.09585216,-13.25719983,-13.62791815,-12.76684805
60,"CF4",-20.6448,-25.87379133,-21.81135173,-20.39870672,-23.40641461,-22.92859555,-23.42924786,-20.7347378,-21.0320183,-20.72590482,-20.85012844,-20.82698636,-20.35865392,-20.16799823,-20.16441889,-21.41224343,-21.78046879,-22.71314183,-20.38746249
61,"CCl4",-13.5517,-17.06311122,-14.43365245,-13.3342368,-15.72874957,-15.34411165,-15.4957779,-12.99262157,-13.42520395,-13.51932576,-13.70423016,-14.12850122,-13.1744907,-13.07592875,-12.92175519,-14.12342994,-14.34776032,-15.2650446,-13.41261463
62,"OCS",-14.463,-17.64565656,-15.51338455,-14.74238519,-16.325745,-16.06431593,-16.32300883,-14.84073609,-14.69203689,-14.64202909,-14.60293422,-14.42840744,-14.1899048,-14.56621465,-14.63927253,-15.23134371,-15.43032212,-15.9176954,-14.61017481
63,"CS2",-12.0474,-14.86134083,-13.01558086,-12.35073475,-13.75412269,-13.53287833,-13.71707458,-12.32895914,-12.24163821,-12.36250942,-12.36982454,-12.06478999,-11.75690478,-12.17076374,-12.1645902,-12.77579915,-12.94059958,-13.42662797,-12.26573723
64,"COF2",-18.3475,-22.61758115,-19.37575776,-18.23323497,-20.61922568,-20.22965267,-20.65191075,-18.50435874,-18.55870605,-18.26511999,-18.27213507,-18.56432492,-18.2564397,-18.01482872,-18.09127772,-18.99970399,-19.30137882,-20.01691055,-18.12354263
65,"SiF4",-24.852,-28.02347662,-24.46293353,-23.2339927,-25.71762815,-25.43463095,-25.70736605,-24.10116925,-23.86076156,-23.96146909,-23.97847387,-25.72370121,-25.77573815,-23.58127206,-23.80183507,-24.5141184,-24.91425518,-25.37095781,-23.60237679
66,"SiCl4",-16.6239,-18.81046321,-16.61468026,-15.70946709,-17.70832424,-17.44850756,-17.48666643,-15.48662332,-15.67576953,-16.28074759,-16.40918408,-17.43488053,-16.61963518,-15.6131847,-15.3600164,-16.46837447,-16.696131,-17.40082427,-15.88046501
67,"N2O",-11.7332,-15.65110171,-13.45709277,-12.60150845,-14.22088045,-13.89194322,-14.09850222,-12.87801548,-12.04906782,-12.26527294,-12.29121965,-11.46875891,-11.47743173,-12.5794727,-12.91281146,-13.23892008,-13.41924317,-13.81336093,-12.39438447
68,"ClNO",-8.29537,-11.4317587,-9.69796426,-9.03334023,-10.36177899,-10.09422759,-10.2752431,-9.23473506,-8.59274358,-8.82623405,-8.85473761,-8.15660783,-8.16528066,-9.03539883,-9.19798903,-9.57432074,-9.70827705,-10.07048342,-8.86961894
69,"NF3",-8.8735,-13.54132621,-10.6920747,-9.69630987,-11.7796833,-11.38927892,-11.72319293,-10.04242299,-9.61443821,-9.75630091,-9.92725978,-8.66969204,-8.58730022,-9.64441565,-9.77376145,-10.48877392,-10.70100139,-11.31782253,-9.54449299
70,"PF3",-15.7813,-19.0190387,-16.14954199,-15.17452401,-17.18133866,-16.91316371,-17.17577375,-15.84206045,-15.31001897,-15.6258411,-15.73828087,-16.08925303,-16.19766331,-15.42626869,-15.54463389,-16.20341095,-16.49332077,-16.94999092,-15.34123332
71,"O3",-6.36653,-10.41162723,-7.98159315,-7.1547719,-8.89920217,-8.55398853,-8.961788,-7.39686971,-6.92572684,-6.83529444,-6.80880992,-6.60503548,-6.63972677,-7.03188401,-7.16092671,-7.74702111,-7.93149599,-8.48684962,-6.81787625
72,"F2O",-4.02856,-7.42279519,-5.40088807,-4.72981168,-6.16338973,-5.90414156,-6.21580102,-5.02698005,-4.70124716,-4.78170666,-4.85166769,-4.00688322,-4.08927504,-4.70140068,-4.79660417,-5.27354684,-5.42759206,-5.85923074,-4.55174669
73,"ClF3",-5.4366,-9.87096267,-7.23015948,-6.29832246,-8.29708493,-7.9869853,-8.30286642,-6.61626206,-6.52373405,-6.5002935,-6.63326254,-5.33253288,-5.27615953,-6.23010445,-6.302988,-7.03945811,-7.26905391,-7.88808636,-6.23937195
74,"C2F4",-25.318376,-32.22115036,-27.32078406,-25.56064921,-29.2239242,-28.64962163,-29.19243603,-25.91531231,-26.20316177,-25.85083071,-25.92497565,-25.16226602,-24.57251406,-25.22491032,-25.33007447,-26.74358054,-27.19679198,-28.29710093,-25.49646127
75,"C2Cl4",-20.2335224,-25.23658737,-21.67479884,-20.18723632,-23.33537801,-22.83724808,-23.04570152,-19.78953383,-20.40224714,-20.38186743,-20.53970543,-20.71486411,-19.51367813,-19.74090772,-19.66464214,-21.11598812,-21.43333258,-22.58308085,-20.21024325
76,"CF3CN",-27.7318,-34.19511918,-29.52084211,-27.77041874,-31.27317132,-30.69206124,-31.10040207,-28.19535225,-27.91996431,-27.88759076,-27.97509653,-27.82291898,-27.33290448,-27.5849602,-27.87193207,-29.02918905,-29.44549905,-30.39750889,-27.71702281
77,"propyne",-30.56522,-34.75066288,-31.25086036,-30.16118185,-32.48855569,-31.92985166,-32.60222715,-30.44141905,-30.44218394,-30.75108856,-30.65657072,-30.64761838,-30.42212498,-30.54659623,-30.69133621,-31.43248283,-31.67900492,-32.244389,-30.49382802
78,"allene",-30.49639036,-34.88913053,-31.38095275,-30.28832209,-32.62393987,-32.06247237,-32.73386576,-30.57179517,-30.55837377,-30.87398905,-30.78133257,-30.42267137,-30.20585079,-30.66860999,-30.8084164,-31.5591881,-31.80579466,-32.37500804,-30.61771202
79,"cyclopropene",-29.61364009,-34.00819299,-30.41854279,-29.29782895,-31.74178334,-31.15044029,-31.86417457,-29.37992863,-29.70199442,-29.90974443,-29.87424356,-29.7697509,-29.33177335,-29.55030386,-29.62252079,-30.51148846,-30.75387969,-31.45135213,-29.60511888
80,"propylene",-37.31335928,-42.06172996,-37.87518311,-36.67154076,-39.35989496,-38.65155932,-39.56299139,-37.01855823,-37.06706993,-37.63070434,-37.55529023,-37.37406904,-37.17459411,-37.40699224,-37.45767572,-38.39996176,-38.66097023,-39.31633654,-37.27050212
81,"cyclopropane",-36.99606404,-41.96335218,-37.64343029,-36.38797762,-39.23177679,-38.4951929,-39.44591406,-36.54577819,-36.90166339,-37.38875175,-37.36359106,-37.12615639,-36.69685166,-36.98002924,-36.96045397,-38.06120237,-38.33228158,-39.12587783,-36.94860268
82,"propane",-43.642252,-48.88128091,-44.0032463,-42.6882729,-45.73870167,-44.88243696,-46.0422062,-43.08769912,-43.20225817,-44.00489842,-43.94064261,-43.75499877,-43.56419666,-43.76310683,-43.71483698,-44.86262233,-45.14100132,-45.89397063,-43.53415799
83,"butadiene",-43.90622678,-49.88078514,-44.85649402,-43.30274908,-46.65112807,-45.83753426,-46.77551797,-43.66889977,-43.71843783,-44.25305371,-44.16409844,-44.00162783,-43.63736927,-43.96362776,-44.10930851,-45.23815891,-45.57606767,-46.39940235,-43.90399736
84,"2-butyne",-43.535294,-49.50531128,-44.464183,-42.91002343,-46.27488192,-45.46213909,-46.43100459,-43.24020693,-43.34665071,-43.83794145,-43.71864555,-43.656714,-43.24909133,-43.48048616,-43.61399321,-44.7621556,-45.10995427,-45.95993406,-43.4260263
85,"methylene cyclopropane",-42.95870787,-49.32491777,-44.15851272,-42.55567294,-46.06483774,-45.21930815,-46.21543384,-42.71593322,-43.09662428,-43.5169469,-43.46205171,-42.98472634,-42.38196514,-43.03692233,-43.1035484,-44.40356488,-44.75112921,-45.72916411,-43.08270951
86,"bicyclobutane",-42.80282688,-49.17630601,-43.86956627,-42.21488633,-45.88365656,-44.99955521,-46.03355751,-42.17033441,-42.89962432,-43.22318228,-43.24201328,-43.13239416,-42.28245751,-42.57771678,-42.58001404,-44.03590692,-44.38170288,-45.50742487,-42.74475106
87,"cyclobutene",-43.4361554,-49.61942604,-44.40342396,-42.77973921,-46.35363322,-45.49780281,-46.47952449,-42.89781115,-43.22981608,-43.75014689,-43.72693825,-43.72669501,-43.06322406,-43.2667271,-43.26836363,-44.66289421,-45.01704661,-46.03417867,-43.3198319
88,"cyclobutane",-49.8098607,-56.51770292,-50.61006968,-48.86924142,-52.80471302,-51.80462953,-53.01984003,-49.07157306,-49.42104907,-50.20431298,-50.19157816,-50.07438181,-49.44126574,-49.73373453,-49.65483695,-51.2323639,-51.60625366,-52.70342171,-49.68270073
89,"isobutene",-50.232938,-56.73131628,-50.96151224,-49.27548084,-53.03248031,-52.06325069,-53.25418053,-49.68417814,-49.81483769,-50.57539817,-50.49334531,-50.41073123,-50.02912702,-50.26223112,-50.30975091,-51.66258892,-52.02248556,-52.96426492,-50.11679799
90,"trans-butane",-56.40722941,-63.35932057,-56.92736041,-55.14278541,-59.23806816,-58.12320526,-59.56528464,-55.59937965,-55.80003563,-56.79379711,-56.72595523,-56.6283864,-56.25979142,-56.46407657,-56.40745547,-57.96143669,-58.33524846,-59.37035368,-56.22301146
91,"isobutane",-56.48406629,-63.43032168,-56.95821881,-55.15650812,-59.28344424,-58.16175923,-59.59653903,-55.61744185,-55.8159373,-56.80892461,-56.75228765,-56.7529238,-56.37999241,-56.50836925,-56.45919457,-58.01788275,-58.39155482,-59.4331498,-56.27015849
92,"spiropentane",-55.68044685,-63.88954942,-57.03798093,-54.91516243,-59.6185044,-58.48752553,-59.80434466,-54.95340469,-55.72657853,-56.25848057,-56.24795342,-55.95797719,-54.95626614,-55.5223036,-55.51491945,-57.37389105,-57.8251647,-59.2180484,-55.66462927
93,"benzene",-59.309698,-68.2176812,-61.12228407,-58.6960095,-63.77825118,-62.71262071,-63.70097938,-58.89713062,-59.19520855,-59.69723047,-59.61587061,-59.54820065,-58.49445266,-59.05797561,-59.27666556,-61.08598531,-61.63757636,-63.01644311,-59.28440069
94,"difluoromethane",-18.92158017,-22.38331563,-19.54712963,-18.68139488,-20.58970919,-20.19630928,-20.72289459,-19.02272228,-19.08441674,-19.20034433,-19.23516626,-18.91290735,-18.82184271,-18.92518408,-18.93492507,-19.66061646,-19.88017646,-20.3939167,-18.90905549
95,"trifluoromethane",-19.84727393,-24.19034456,-20.74584707,-19.60893659,-22.05998129,-21.6246069,-22.13683425,-19.9506163,-20.12658573,-20.03507192,-20.1098371,-19.92966575,-19.66080824,-19.61221351,-19.61970096,-20.59959835,-20.89137131,-21.61270891,-19.71464375
96,"dichloromethane",-16.03152672,-18.63227445,-16.4810569,-15.76601738,-17.39751109,-17.0423399,-17.4232035,-15.73499527,-15.94733245,-16.19793961,-16.24691025,-16.20931959,-15.83205179,-15.89659291,-15.79791005,-16.55352519,-16.70421628,-17.24449546,-15.96772167
